Station;Date;Irradiance
WSLLAF;202201051200;163
WSLLAF;202201051210;279
WSLLAF;202201051220;336
WSLLAF;202201051230;315
WSLLAF;202201051240;305
WSLLAF;202201051250;296
WSLLAF;202201051300;286
WSLLAF;202201051310;285
WSLLAF;202201051320;182
WSLLAF;202201051330;114
WSLLAF;202201051340;255
WSLLAF;202201051350;237
WSLLAF;202201051400;186
WSLLAF;202201051410;215
WSLLAF;202201051420;238
WSLLAF;202201051430;170
WSLLAF;202201051440;99
WSLLAF;202201051450;65
WSLLAF;202201051500;63
WSLLAF;202201051510;30
WSLLAF;202201051520;39
WSLLAF;202201051530;28
WSLLAF;202201051540;16
WSLLAF;202201051550;10
WSLLAF;202201051600;4
WSLLAF;202201051610;2
WSLLAF;202201051620;1
WSLLAF;202201051630;0
WSLLAF;202201051640;0
WSLLAF;202201051650;0
WSLLAF;202201051700;0
WSLLAF;202201051710;0
WSLLAF;202201051720;0
WSLLAF;202201051730;0
WSLLAF;202201051740;0
WSLLAF;202201051750;0
WSLLAF;202201051800;0
WSLLAF;202201051810;0
WSLLAF;202201051820;0
WSLLAF;202201051830;0
WSLLAF;202201051840;0
WSLLAF;202201051850;0
WSLLAF;202201051900;0
WSLLAF;202201051910;0
WSLLAF;202201051920;0
WSLLAF;202201051930;0
WSLLAF;202201051940;0
WSLLAF;202201051950;0
WSLLAF;202201052000;0
WSLLAF;202201052010;0
WSLLAF;202201052020;0
WSLLAF;202201052030;0
WSLLAF;202201052040;0
WSLLAF;202201052050;0
WSLLAF;202201052100;0
WSLLAF;202201052110;0
WSLLAF;202201052120;0
WSLLAF;202201052130;0
WSLLAF;202201052140;0
WSLLAF;202201052150;0
WSLLAF;202201052200;0
WSLLAF;202201052210;0
WSLLAF;202201052220;0
WSLLAF;202201052230;0
WSLLAF;202201052240;0
WSLLAF;202201052250;0
WSLLAF;202201052300;0
WSLLAF;202201052310;0
WSLLAF;202201052320;0
WSLLAF;202201052330;0
WSLLAF;202201052340;0
WSLLAF;202201052350;0
WSLLAF;202201060000;0
WSLLAF;202201060010;0
WSLLAF;202201060020;0
WSLLAF;202201060030;0
WSLLAF;202201060040;0
WSLLAF;202201060050;0
WSLLAF;202201060100;0
WSLLAF;202201060110;0
WSLLAF;202201060120;0
WSLLAF;202201060130;0
WSLLAF;202201060140;0
WSLLAF;202201060150;0
WSLLAF;202201060200;0
WSLLAF;202201060210;0
WSLLAF;202201060220;0
WSLLAF;202201060230;0
WSLLAF;202201060240;0
WSLLAF;202201060250;0
WSLLAF;202201060300;0
WSLLAF;202201060310;0
WSLLAF;202201060320;0
WSLLAF;202201060330;0
WSLLAF;202201060340;0
WSLLAF;202201060350;0
WSLLAF;202201060400;0
WSLLAF;202201060410;0
WSLLAF;202201060420;0
WSLLAF;202201060430;0
WSLLAF;202201060440;0
WSLLAF;202201060450;0
WSLLAF;202201060500;0
WSLLAF;202201060510;0
WSLLAF;202201060520;0
WSLLAF;202201060530;0
WSLLAF;202201060540;0
WSLLAF;202201060550;0
WSLLAF;202201060600;0
WSLLAF;202201060610;0
WSLLAF;202201060620;0
WSLLAF;202201060630;0
WSLLAF;202201060640;0
WSLLAF;202201060650;0
WSLLAF;202201060700;0
WSLLAF;202201060710;2
WSLLAF;202201060720;4
WSLLAF;202201060730;6
WSLLAF;202201060740;14
WSLLAF;202201060750;23
WSLLAF;202201060800;21
WSLLAF;202201060810;31
WSLLAF;202201060820;118
WSLLAF;202201060830;161
